# Constructed from biom file
#OTU ID	B1C1a	B1C2a	B1C3a	B1C4a	B1O2b	B1O1b	taxonomy	KEGG_Description
K13688	14.0	15.0	13.0	12.0	49.0	31.0	0.0	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]
K13683	0.0	0.0	0.0	0.0	8.0	0.0	0.0	putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]
K13685	246.0	229.0	177.0	401.0	392.0	269.0	0.0	UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl 1-P transferase [EC:2.7.8.-]
K13684	0.0	0.0	0.0	0.0	8.0	0.0	0.0	putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-]
K13687	6.0	8.0	5.0	22.0	28.0	6.0	0.0	arabinofuranosyltrasnferase [EC:2.4.2.-]; arabinofuranosyltransferase [EC:2.4.2.-]
K13686	4.0	7.0	4.0	18.0	16.0	4.0	0.0	arabinofuranosyltransferase [EC:2.4.2.-]
K14159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]
K02399	5.0	6.0	9.0	6.0	30.0	12.0	0.0	flagella synthesis protein FlgN
K02398	174.0	251.0	233.0	333.0	383.0	240.0	0.0	negative regulator of flagellin synthesis FlgM
K02395	92.0	166.0	123.0	177.0	175.0	112.0	0.0	flagellar protein FlgJ
K02394	235.0	323.0	311.0	379.0	468.0	306.0	0.0	flagellar P-ring protein precursor FlgI
K02397	371.0	440.0	406.0	638.0	666.0	462.0	0.0	flagellar hook-associated protein 3 FlgL
K02396	381.0	418.0	422.0	634.0	676.0	524.0	0.0	flagellar hook-associated protein 1 FlgK
K02391	89.0	143.0	109.0	170.0	180.0	106.0	0.0	flagellar basal-body rod protein FlgF
K02390	431.0	520.0	482.0	713.0	775.0	546.0	0.0	flagellar hook protein FlgE
K02393	235.0	322.0	310.0	380.0	466.0	307.0	0.0	flagellar L-ring protein precursor FlgH
K02392	562.0	641.0	635.0	973.0	1029.0	763.0	0.0	flagellar basal-body rod protein FlgG
K13533	0.0	2.0	4.0	2.0	5.0	1.0	0.0	two-component system, sporulation sensor kinase E [EC:2.7.13.3]
K13532	0.0	1.0	3.0	1.0	3.0	1.0	0.0	two-component system, sporulation sensor kinase D [EC:2.7.13.3]
K13531	1.0	3.0	3.0	1.0	4.0	2.0	0.0	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
K13530	1.0	3.0	5.0	4.0	8.0	4.0	0.0	AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]
K01550	1.0	0.0	0.0	2.0	2.0	1.0	0.0	Na+-transporting two-sector ATPase [EC:3.6.3.15]
K05658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ATP-binding cassette, subfamily B (MDR/TAP), member 1
K14054	6.0	5.0	6.0	3.0	17.0	18.0	0.0	protein MpaA
K02601	677.0	690.0	626.0	973.0	1132.0	862.0	0.0	transcriptional antiterminator NusG
K02970	536.0	565.0	501.0	695.0	955.0	666.0	0.0	small subunit ribosomal protein S21
K05378	0.0	0.0	0.0	0.0	6.0	0.0	0.0	phycoerythrin-associated linker protein
K12339	411.0	477.0	365.0	704.0	621.0	426.0	0.0	cysteine synthase B [EC:2.5.1.47]
K14060	5.0	3.0	2.0	8.0	6.0	5.0	0.0	putative DNA-invertase from lambdoid prophage Rac
K11687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	poly(ADP-ribose) glycohydrolase ARH3 [EC:3.2.1.143]
K11686	2.0	5.0	10.0	15.0	10.0	5.0	0.0	chromosome-anchoring protein RacA
K11685	1.0	0.0	0.0	0.0	8.0	0.0	0.0	DNA-binding protein StpA
K11689	25.0	29.0	35.0	46.0	49.0	43.0	0.0	C4-dicarboxylate transporter, DctQ subunit
K11688	29.0	26.0	28.0	32.0	49.0	41.0	0.0	C4-dicarboxylate-binding protein DctP
K08939	3.0	3.0	1.0	2.0	11.0	2.0	0.0	light-harvesting protein B-800-850 beta chain
K03048	3.0	7.0	13.0	19.0	15.0	9.0	0.0	DNA-directed RNA polymerase subunit delta [EC:2.7.7.6]; DNA-directed RNA polymerase subunit delta
K03049	2.0	2.0	1.0	6.0	4.0	4.0	0.0	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
K13821	302.0	380.0	364.0	491.0	779.0	473.0	0.0	proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.99.8 1.5.1.12]
K13820	3.0	3.0	2.0	5.0	11.0	5.0	0.0	flagellar biosynthetic protein FliR/FlhB
K03042	2.0	2.0	1.0	6.0	4.0	4.0	0.0	DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]
K03043	670.0	686.0	622.0	964.0	1121.0	841.0	0.0	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03040	723.0	781.0	702.0	1046.0	1285.0	916.0	0.0	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041	2.0	2.0	0.0	4.0	4.0	2.0	0.0	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03046	666.0	689.0	623.0	958.0	1137.0	842.0	0.0	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03047	2.0	2.0	1.0	6.0	4.0	4.0	0.0	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03044	2.0	2.0	0.0	4.0	4.0	2.0	0.0	DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]
K03045	2.0	2.0	0.0	4.0	4.0	2.0	0.0	DNA-directed RNA polymerase subunit B" [EC:2.7.7.6]
K00348	36.0	53.0	39.0	40.0	80.0	29.0	0.0	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.-]
K09847	0.0	0.0	0.0	0.0	1.0	0.0	0.0	spheroidene monooxygenase [EC:1.-.-.-]
K00692	8.0	8.0	11.0	11.0	25.0	15.0	0.0	levansucrase [EC:2.4.1.10]
K00638	52.0	19.0	20.0	27.0	69.0	79.0	0.0	chloramphenicol O-acetyltransferase [EC:2.3.1.28]
K00639	327.0	428.0	358.0	580.0	601.0	387.0	0.0	glycine C-acetyltransferase [EC:2.3.1.29]
K00693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	glycogen(starch) synthase [EC:2.4.1.11]
K00634	36.0	33.0	38.0	44.0	97.0	55.0	0.0	phosphate butyryltransferase [EC:2.3.1.19]
K00635	174.0	180.0	208.0	203.0	425.0	254.0	0.0	diacylglycerol O-acyltransferase [EC:2.3.1.20]
K00630	0.0	0.0	0.0	0.0	0.0	0.0	0.0	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00631	31.0	33.0	22.0	52.0	96.0	46.0	0.0	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K00632	739.0	773.0	700.0	1260.0	1268.0	918.0	0.0	acetyl-CoA acyltransferase [EC:2.3.1.16]
K00633	9.0	9.0	8.0	9.0	33.0	22.0	0.0	galactoside O-acetyltransferase [EC:2.3.1.18]
K00691	2.0	1.0	0.0	1.0	2.0	1.0	0.0	maltose phosphorylase [EC:2.4.1.8]
K00696	4.0	4.0	11.0	4.0	42.0	8.0	0.0	sucrose-phosphate synthase [EC:2.4.1.14]
K00694	207.0	292.0	219.0	348.0	412.0	221.0	0.0	cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00695	0.0	7.0	5.0	3.0	30.0	5.0	0.0	sucrose synthase [EC:2.4.1.13]
K10854	1.0	2.0	1.0	3.0	6.0	1.0	0.0	acetone carboxylase, alpha subunit [EC:6.4.1.6]
K07811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	trimethylamine-N-oxide reductase (cytochrome c) 1 [EC:1.7.2.3]
K07810	6.0	2.0	2.0	6.0	19.0	2.0	0.0	Cu(I)/Ag(I) efflux system periplasmic protein CusF
K07813	51.0	21.0	13.0	41.0	65.0	91.0	0.0	accessory gene regulator B
K07812	74.0	69.0	97.0	79.0	149.0	126.0	0.0	trimethylamine-N-oxide reductase (cytochrome c) 2 [EC:1.7.2.3]
K07814	243.0	331.0	315.0	394.0	442.0	309.0	0.0	putative two-component system response regulator
K07816	16.0	10.0	14.0	25.0	29.0	25.0	0.0	putative GTP pyrophosphokinase [EC:2.7.6.5]
K00090	8.0	20.0	18.0	6.0	44.0	13.0	0.0	gluconate 2-dehydrogenase [EC:1.1.1.215]
K00091	418.0	448.0	350.0	639.0	681.0	431.0	0.0	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00094	3.0	0.0	0.0	0.0	6.0	6.0	0.0	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	27.0	25.0	29.0	42.0	63.0	42.0	0.0	glycerol-1-phosphate dehydrogenase [NAD(P)] [EC:1.1.1.261]
K00097	342.0	350.0	311.0	388.0	635.0	410.0	0.0	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	30.0	26.0	23.0	32.0	47.0	33.0	0.0	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	641.0	663.0	594.0	936.0	1068.0	800.0	0.0	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K10228	42.0	37.0	38.0	53.0	71.0	54.0	0.0	sorbitol/mannitol transport system permease protein
K10229	42.0	37.0	38.0	53.0	70.0	54.0	0.0	sorbitol/mannitol transport system permease protein
K12548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	autoaggregation protein RapA/B/C
K10222	0.0	1.0	2.0	3.0	9.0	1.0	0.0	2,6-dioxo-6-phenylhexa-3-enoate hydrolase [EC:3.7.1.8]
K10220	4.0	15.0	13.0	5.0	24.0	9.0	0.0	4-oxalmesaconate hydratase [EC:4.2.1.83]
K10221	4.0	15.0	11.0	2.0	22.0	7.0	0.0	2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]
K10227	44.0	46.0	44.0	55.0	84.0	62.0	0.0	sorbitol/mannitol transport system substrate-binding protein
K05822	2.0	6.0	12.0	18.0	14.0	7.0	0.0	tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]
K01949	1.0	1.0	0.0	2.0	0.0	0.0	0.0	None
K01945	674.0	694.0	627.0	972.0	1140.0	858.0	0.0	phosphoribosylamine--glycine ligase [EC:6.3.4.13]
K01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	biotin-[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7.1.33]
K01946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	biotin carboxylase [EC:6.3.4.14]
K01941	28.0	31.0	24.0	33.0	57.0	39.0	0.0	urea carboxylase [EC:6.3.4.6]
K01940	778.0	763.0	647.0	1068.0	1185.0	884.0	0.0	argininosuccinate synthase [EC:6.3.4.5]
K06357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	phosphatase RapI regulator
K07729	284.0	256.0	233.0	424.0	380.0	349.0	0.0	putative transcriptional regulator
K07728	2.0	2.0	0.0	4.0	4.0	2.0	0.0	putative transcriptional regulator
K07727	157.0	104.0	85.0	262.0	180.0	193.0	0.0	putative transcriptional regulator
K07726	126.0	130.0	106.0	171.0	213.0	158.0	0.0	putative transcriptional regulator
K07725	0.0	0.0	0.0	0.0	1.0	0.0	0.0	putative transcriptional regulator
K07724	1.0	0.0	0.0	0.0	2.0	0.0	0.0	Ner family transcriptional regulator
K07723	12.0	17.0	17.0	38.0	42.0	25.0	0.0	CopG family transcriptional regulator
K07722	108.0	131.0	114.0	127.0	257.0	172.0	0.0	CopG family transcriptional regulator, nickel-responsive regulator
K07721	2.0	2.0	0.0	4.0	4.0	2.0	0.0	ArsR family transcriptional regulator
K07720	146.0	59.0	46.0	98.0	137.0	271.0	0.0	two-component system, response regulator YesN
K00899	62.0	54.0	52.0	155.0	104.0	74.0	0.0	5-methylthioribose kinase [EC:2.7.1.100]
K05824	8.0	6.0	7.0	8.0	15.0	15.0	0.0	homoisocitrate dehydrogenase [EC:1.1.1.87]
K00891	628.0	646.0	601.0	853.0	1101.0	834.0	0.0	shikimate kinase [EC:2.7.1.71]
K00892	1.0	0.0	0.0	0.0	8.0	0.0	0.0	inosine kinase [EC:2.7.1.73]
K00895	121.0	124.0	156.0	153.0	307.0	251.0	0.0	pyrophosphate--fructose-6-phosphate 1-phosphotransferase [EC:2.7.1.90]
K00897	48.0	41.0	23.0	144.0	54.0	35.0	0.0	aminoglycoside 3'-phosphotransferase [EC:2.7.1.95]
K08151	185.0	166.0	121.0	197.0	273.0	172.0	0.0	MFS transporter, DHA1 family, tetracycline resistance protein
K08153	4.0	10.0	21.0	30.0	21.0	12.0	0.0	MFS transporter, DHA1 family, multidrug resistance protein
K08154	1.0	0.0	0.0	0.0	9.0	0.0	0.0	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD
K02948	671.0	688.0	623.0	970.0	1124.0	846.0	0.0	small subunit ribosomal protein S11
K02942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	large subunit ribosomal protein LP1
K02944	2.0	2.0	0.0	4.0	4.0	2.0	0.0	large subunit ribosomal protein LX
K05665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ATP-binding cassette, subfamily C (CFTR/MRP), member 1
K02946	704.0	721.0	636.0	1092.0	1156.0	868.0	0.0	small subunit ribosomal protein S10
K13793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	secreted effector OspE
K06352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	phosphatase RapA inhibitor
K01769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	guanylate cyclase, other [EC:4.6.1.2]
K01768	967.0	1113.0	1067.0	1741.0	2033.0	1357.0	0.0	adenylate cyclase [EC:4.6.1.1]
K01761	230.0	196.0	160.0	255.0	333.0	228.0	0.0	methionine-gamma-lyase [EC:4.4.1.11]
K01760	208.0	271.0	265.0	337.0	390.0	263.0	0.0	cystathionine beta-lyase [EC:4.4.1.8]
K01762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]
K09578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]
K01766	1.0	0.0	0.0	0.0	8.0	0.0	0.0	cysteine sulfinate desulfinase [EC:4.4.1.-]
K08164	1.0	4.0	5.0	4.0	10.0	5.0	0.0	MFS transporter, DHA1 family, chloramphenicol resistance protein
K02493	700.0	713.0	663.0	1009.0	1182.0	899.0	0.0	methyltransferase [EC:2.1.1.-]
K08166	113.0	83.0	35.0	122.0	75.0	56.0	0.0	MFS transporter, DHA2 family, methylenomycin A resistance protein
K08167	262.0	265.0	232.0	586.0	409.0	334.0	0.0	MFS transporter, DHA2 family, methyl viologen resistance protein SmvA
K02496	7.0	14.0	15.0	8.0	48.0	21.0	0.0	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02497	2.0	7.0	12.0	18.0	14.0	7.0	0.0	HemX protein
K02494	9.0	7.0	13.0	10.0	46.0	21.0	0.0	outer membrane lipoprotein LolB
K02495	873.0	851.0	815.0	1153.0	1575.0	1163.0	0.0	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22]
K02498	42.0	48.0	46.0	45.0	113.0	59.0	0.0	HemY protein
K02499	191.0	137.0	97.0	255.0	180.0	151.0	0.0	tetrapyrrole methylase family protein / MazG family protein
K08168	0.0	1.0	1.0	0.0	1.0	1.0	0.0	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter
K08169	23.0	26.0	22.0	23.0	57.0	26.0	0.0	MFS transporter, DHA2 family, multidrug resistance protein
K14415	14.0	8.0	8.0	8.0	29.0	18.0	0.0	tRNA-splicing ligase RtcB [EC:6.5.1.3]; protein RtcB
K14414	20.0	14.0	25.0	8.0	84.0	50.0	0.0	transcriptional regulatory protein RtcR
K06881	525.0	603.0	545.0	831.0	971.0	702.0	0.0	None
K00436	27.0	40.0	40.0	28.0	77.0	50.0	0.0	hydrogen dehydrogenase [EC:1.12.1.2]
K06332	0.0	3.0	5.0	5.0	9.0	3.0	0.0	spore coat protein JA
K12815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [EC:3.6.4.13]; pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [EC:3.6.1.-]
K12810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	major structural subunit of bundle-forming pilus
K06885	97.0	93.0	98.0	124.0	213.0	134.0	0.0	None
K00437	3.0	2.0	1.0	5.0	11.0	4.0	0.0	cytochrome-c3 hydrogenase [EC:1.12.2.1]
K06335	0.0	0.0	0.0	0.0	1.0	0.0	0.0	spore coat protein M
K06334	31.0	16.0	12.0	27.0	42.0	44.0	0.0	spore coat protein JC
K03547	294.0	235.0	274.0	404.0	480.0	451.0	0.0	exonuclease SbcD
K03546	409.0	321.0	318.0	529.0	560.0	519.0	0.0	exonuclease SbcC
K03545	694.0	686.0	621.0	964.0	1119.0	877.0	0.0	trigger factor
K03544	704.0	694.0	628.0	973.0	1153.0	899.0	0.0	ATP-dependent Clp protease ATP-binding subunit ClpX
K03543	437.0	568.0	527.0	700.0	890.0	575.0	0.0	multidrug resistance protein A
K06888	623.0	712.0	605.0	963.0	1078.0	733.0	0.0	None
K10941	8.0	8.0	10.0	28.0	22.0	16.0	0.0	sigma-54 specific transcriptional regulator, flagellar regulatory protein A
K03549	112.0	123.0	143.0	131.0	281.0	193.0	0.0	KUP system potassium uptake protein
K03548	1.0	0.0	2.0	1.0	13.0	1.0	0.0	putative permease
K10940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	outer membrane protein OmpT
K02236	4.0	11.0	21.0	31.0	21.0	13.0	0.0	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02237	537.0	504.0	436.0	726.0	851.0	663.0	0.0	competence protein ComEA
K02234	31.0	47.0	35.0	40.0	98.0	42.0	0.0	cobalamin biosynthesis protein CobW
K02232	283.0	297.0	349.0	372.0	577.0	469.0	0.0	adenosylcobyric acid synthase [EC:6.3.5.10]
K02233	350.0	352.0	380.0	451.0	669.0	551.0	0.0	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
K02230	251.0	302.0	338.0	345.0	570.0	433.0	0.0	cobaltochelatase CobN [EC:6.6.1.2]
K02231	602.0	565.0	567.0	780.0	1016.0	839.0	0.0	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
K06359	0.0	0.0	0.0	0.0	1.0	0.0	0.0	response regulator aspartate phosphatase A (stage 0 sporulation protein L) [EC:3.1.-.-]
K02238	736.0	712.0	637.0	1038.0	1156.0	898.0	0.0	competence protein ComEC
K02239	2.0	7.0	12.0	18.0	14.0	7.0	0.0	competence protein ComER
K03723	676.0	700.0	639.0	991.0	1147.0	850.0	0.0	transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.1.-]
K03722	515.0	541.0	495.0	689.0	918.0	608.0	0.0	ATP-dependent DNA helicase DinG [EC:3.6.4.12]; ATP-dependent DNA helicase DinG [EC:3.6.1.-]
K03721	10.0	8.0	4.0	15.0	24.0	14.0	0.0	transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport
K03720	1.0	0.0	0.0	0.0	8.0	0.0	0.0	TrpR family transcriptional regulator, trp operon repressor
K03727	251.0	202.0	177.0	305.0	307.0	265.0	0.0	ATP-dependent RNA helicase HelY [EC:3.6.1.-]; ATP-dependent RNA helicase HelY [EC:3.6.4.-]
K03726	9.0	6.0	9.0	27.0	14.0	12.0	0.0	helicase [EC:3.6.1.-]; helicase [EC:3.6.4.-]
K03725	2.0	2.0	0.0	4.0	4.0	2.0	0.0	archaea-specific helicase [EC:3.6.1.-]
K03724	587.0	745.0	648.0	969.0	1165.0	755.0	0.0	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.1.-]; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]
K06358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	phosphatase RapK regulator
K12673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N2-(2-carboxyethyl)arginine synthase [EC:2.5.1.66]
K12679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	outer membrane protein IcsA
K12678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AIDA-I adhesin-like protein
K06410	27.0	17.0	16.0	36.0	39.0	37.0	0.0	dipicolinate synthase subunit A
K11898	18.0	27.0	42.0	13.0	121.0	66.0	0.0	type VI secretion system protein ImpE
K11899	0.0	1.0	0.0	0.0	5.0	1.0	0.0	type VI secretion system protein ImpD
K11896	74.0	70.0	105.0	68.0	204.0	146.0	0.0	type VI secretion system protein ImpG
K11897	50.0	47.0	88.0	51.0	152.0	119.0	0.0	type VI secretion system protein ImpF
K11894	2.0	5.0	4.0	0.0	4.0	5.0	0.0	type VI secretion system protein ImpI
K11895	65.0	56.0	95.0	63.0	178.0	132.0	0.0	type VI secretion system protein ImpH
K11892	68.0	69.0	87.0	64.0	168.0	118.0	0.0	type VI secretion system protein ImpK
K11893	140.0	149.0	169.0	167.0	284.0	191.0	0.0	type VI secretion system protein ImpJ
K11890	15.0	14.0	11.0	15.0	31.0	19.0	0.0	type VI secretion system protein ImpM
K11891	70.0	68.0	84.0	67.0	142.0	110.0	0.0	type VI secretion system protein ImpL
K08762	1.0	2.0	2.0	0.0	3.0	1.0	0.0	diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)
K08764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sterol carrier protein 2 [EC:2.3.1.176]
K08765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	carnitine O-palmitoyltransferase 1 [EC:2.3.1.21]
K10418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	dynein light chain LC8-type
K11325	77.0	56.0	37.0	163.0	100.0	67.0	0.0	L-cysteine/cystine lyase
K11326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	cation efflux system protein involved in nickel and cobalt tolerance
K11327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	cation efflux system protein involved in nickel and cobalt tolerance
K11328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS [EC:2.7.13.3]
K11329	2.0	16.0	8.0	6.0	41.0	5.0	0.0	two-component system, OmpR family, response regulator RpaB
K00151	24.0	22.0	29.0	50.0	67.0	34.0	0.0	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00150	3.0	9.0	4.0	11.0	33.0	8.0	0.0	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00153	81.0	73.0	75.0	144.0	137.0	112.0	0.0	NAD/factor-dependent formaldehyde dehydrogenase [EC:1.2.1.66]; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00400	4.0	3.0	0.0	7.0	6.0	4.0	0.0	methyl coenzyme M reductase system, component A2
K00407	29.0	35.0	35.0	31.0	87.0	48.0	0.0	cytochrome c oxidase cb-type subunit IV; cb-type cytochrome c oxidase subunit IV [EC:1.9.3.1]
K00406	130.0	152.0	164.0	166.0	324.0	178.0	0.0	cb-type cytochrome c oxidase subunit III [EC:1.9.3.1]; cytochrome c oxidase cb-type subunit III
K00405	202.0	261.0	225.0	274.0	510.0	276.0	0.0	cb-type cytochrome c oxidase subunit II [EC:1.9.3.1]; cytochrome c oxidase cb-type subunit II
K00404	177.0	208.0	179.0	241.0	391.0	207.0	0.0	cb-type cytochrome c oxidase subunit I [EC:1.9.3.1]; cytochrome c oxidase cb-type subunit I [EC:1.9.3.1]
K00158	0.0	1.0	1.0	2.0	4.0	2.0	0.0	pyruvate oxidase [EC:1.2.3.3]
K01342	4.0	8.0	16.0	28.0	15.0	8.0	0.0	subtilisin [EC:3.4.21.62]
K09388	2.0	5.0	10.0	17.0	12.0	6.0	0.0	hypothetical protein
K09386	420.0	332.0	266.0	555.0	461.0	395.0	0.0	hypothetical protein
K09384	16.0	9.0	16.0	9.0	30.0	18.0	0.0	hypothetical protein
K04094	238.0	293.0	291.0	356.0	465.0	341.0	0.0	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]; glucose inhibited division protein Gid
K04095	19.0	5.0	2.0	16.0	15.0	10.0	0.0	cell filamentation protein
K04096	682.0	698.0	639.0	966.0	1156.0	889.0	0.0	DNA processing protein
K04097	58.0	69.0	62.0	65.0	152.0	86.0	0.0	glutathione S-transferase [EC:2.5.1.18]
K04090	102.0	98.0	88.0	198.0	172.0	129.0	0.0	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
K04091	555.0	600.0	446.0	1084.0	835.0	586.0	0.0	alkanesulfonate monooxygenase [EC:1.14.14.5]
K04092	31.0	25.0	33.0	22.0	61.0	41.0	0.0	chorismate mutase [EC:5.4.99.5]
K04093	149.0	164.0	91.0	223.0	132.0	80.0	0.0	chorismate mutase [EC:5.4.99.5]
K04098	10.0	12.0	11.0	10.0	13.0	12.0	0.0	hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]
K04099	2.0	7.0	4.0	3.0	10.0	4.0	0.0	protocatechuate 4,5-dioxygenase [EC:1.13.11.8]
K01578	26.0	32.0	29.0	28.0	52.0	35.0	0.0	malonyl-CoA decarboxylase [EC:4.1.1.9]
K01579	426.0	417.0	387.0	614.0	728.0	571.0	0.0	aspartate 1-decarboxylase [EC:4.1.1.11]
K01574	81.0	86.0	68.0	189.0	121.0	98.0	0.0	acetoacetate decarboxylase [EC:4.1.1.4]
K01575	67.0	74.0	44.0	165.0	123.0	69.0	0.0	acetolactate decarboxylase [EC:4.1.1.5]
K01576	58.0	65.0	36.0	152.0	92.0	63.0	0.0	benzoylformate decarboxylase [EC:4.1.1.7]
K01577	19.0	30.0	21.0	40.0	43.0	29.0	0.0	oxalyl-CoA decarboxylase [EC:4.1.1.8]
K01571	162.0	111.0	108.0	163.0	190.0	193.0	0.0	oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3]
K01572	134.0	109.0	81.0	120.0	144.0	142.0	0.0	oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]
K01573	3.0	0.0	2.0	0.0	4.0	0.0	0.0	oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3]
K02009	42.0	37.0	34.0	75.0	76.0	68.0	0.0	cobalt transport protein
K02008	962.0	804.0	705.0	1276.0	1343.0	1162.0	0.0	cobalt/nickel transport system permease protein
K02005	943.0	1220.0	1154.0	1449.0	2023.0	1302.0	0.0	HlyD family secretion protein
K02004	5179.0	6137.0	5447.0	8351.0	9000.0	6242.0	0.0	None
K02007	371.0	339.0	291.0	549.0	566.0	437.0	0.0	cobalt/nickel transport system permease protein
K02006	1283.0	1018.0	809.0	1600.0	1598.0	1434.0	0.0	cobalt/nickel transport system ATP-binding protein
K02001	101.0	83.0	102.0	141.0	194.0	158.0	0.0	glycine betaine/proline transport system permease protein
K02000	95.0	75.0	83.0	133.0	159.0	131.0	0.0	glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
K02003	3814.0	3854.0	3309.0	5841.0	6109.0	4709.0	0.0	None
K02002	131.0	125.0	150.0	184.0	237.0	204.0	0.0	glycine betaine/proline transport system substrate-binding protein
K03065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26S proteasome regulatory subunit T5
K08952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	chlorosome envelope protein I
